Name,Language,Bulletin,Link
Agartala            ,Bengali,0735,http://newsonair.nic.in/writereaddata/Bulletins_Audio/Regional/2019/Jul/Regional-Agartala-Bengali-0735-20197682115.mp3
Agartala            ,Bengali,0735,http://newsonair.nic.in/writereaddata/Bulletins_Audio/Regional/2019/Jul/Regional-Agartala-Bengali-0735-20197582633.mp3
